   1   30    0    1    2   30
222222222222222222222222222222
"MAPNUM" "MINLAT" "MAXLAT" "MINLON" "MAXLON" "LABLAT" "LABLON" "XRED" "YRED" "XGREEN" "YGREEN" "XDOUBLE" "YDOUBLE" "XGRID" "YGRID" "PERIM" "AREA" "GRIDX" "GRIDY" "XGRIDCOO" "YGRIDCOO" "BOXSIZEX" "BOXSIZEY" "COMPLETE" "TOTALCEL" "TOTALRED" "TOTALGRE" "TOTALDOU" "MEANPERI" "MEANAREA"  
 5. -.3041E+04 -.1171E+04  .196E+04  .3E+04   .   .  .57E+03 -.2341E+04   .   .   .   .  .14E+02  7.  .3962848E+02  .2442274E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.3041E+04 -.1171E+04  .196E+04  .3E+04   .   .  .82E+03 -.2171E+04   .   .   .   .  .15E+02  8.  .4891641E+02  .9335851E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.3041E+04 -.1171E+04  .196E+04  .3E+04   .   .  .44E+03 -.2251E+04   .   .   .   .  .14E+02  8.  .5139319E+02  .1226121E+04   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.3041E+04 -.1171E+04  .196E+04  .3E+04   .   .  .44E+03 -.2351E+04   .   .   .   .  .14E+02  7.  .501548E+02  .1265228E+04   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.3041E+04 -.1171E+04  .196E+04  .3E+04   .   .  .44E+03 -.2431E+04   .   .   .   .  .14E+02  7.  .495356E+02  .3205245E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.3041E+04 -.1171E+04  .196E+04  .3E+04   .   .  .45E+03 -.2511E+04   .   .   .   .  .14E+02  7.  .3343653E+02  .4880714E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.3041E+04 -.1171E+04  .196E+04  .3E+04   .   .  .27E+03 -.2431E+04   .   .   .   .  .13E+02  7.  .6315789E+02  .4194423E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.3041E+04 -.1171E+04  .196E+04  .3E+04   .   .  .28E+03 -.2331E+04   .   .   .   .  .13E+02  7.  .5572755E+02  .7345992E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.3041E+04 -.1171E+04  .196E+04  .3E+04   .   .  .37E+03 -.2201E+04   .   .   .   .  .14E+02  8.  .3962848E+02  .1186631E+04   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.3041E+04 -.1171E+04  .196E+04  .3E+04   .   .  .28E+03 -.2131E+04   .   .   .   .  .13E+02  8.  .2786378E+02  .4033394E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.3041E+04 -.1171E+04  .196E+04  .3E+04   .   .  .4E+03 -.2311E+04   .   .   .   .  .14E+02  8.  .4148607E+02  .5241112E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.3041E+04 -.1171E+04  .196E+04  .3E+04   .   .  .16E+03 -.2341E+04   .   .   .   .  .13E+02  7.  .7678019E+02  .1725695E+04   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.3041E+04 -.1171E+04  .196E+04  .3E+04   .   .  .9E+02 -.2391E+04   .   .   .   .  .13E+02  7.  .2972136E+02  .5106921E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.3041E+04 -.1171E+04  .196E+04  .3E+04   .   .  .3E+02 -.2431E+04   .   .   .   .  .13E+02  7.  .3653251E+02  .1963021E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.3041E+04 -.1171E+04  .196E+04  .3E+04   .   .  .3E+02 -.2241E+04   .   .   .   .  .13E+02  8.  .3653251E+02  .4397627E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.3041E+04 -.1171E+04  .196E+04  .3E+04   .   .  .16E+03 -.2201E+04   .   .   .   .  .13E+02  8.  .501548E+02  .195612E+04   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.3041E+04 -.1171E+04  .196E+04  .3E+04   .   .  .15E+03 -.2081E+04   .   .   .   .  .13E+02  8.  .2910217E+02  .1065859E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.3041E+04 -.1171E+04  .196E+04  .3E+04   .   . -.1E+03 -.2441E+04   .   .   .   .  .12E+02  7.  .4210526E+02  .1168994E+04   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.3041E+04 -.1171E+04  .196E+04  .3E+04   .   . -.7E+02 -.2511E+04   .   .   .   .  .12E+02  7.  .4643963E+02  .4278772E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.3041E+04 -.1171E+04  .196E+04  .3E+04   .   . -.17E+03 -.2461E+04   .   .   .   .  .12E+02  7.  .3839009E+02  .7081444E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.3041E+04 -.1171E+04  .196E+04  .3E+04   .   . -.24E+03 -.2371E+04   .   .   .   .  .12E+02  7.  .4520124E+02  .4616166E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.3041E+04 -.1171E+04  .196E+04  .3E+04   .   . -.24E+03 -.2321E+04   .   .   .   .  .12E+02  7.  .3467492E+02  .3051884E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.3041E+04 -.1171E+04  .196E+04  .3E+04   .   . -.2E+03 -.2211E+04   .   .   .   .  .12E+02  8.  .2972136E+02  .6491004E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.3041E+04 -.1171E+04  .196E+04  .3E+04   .   . -.15E+03 -.2101E+04   .   .   .   .  .12E+02  8.  .3962848E+02  .1033653E+04   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.3041E+04 -.1171E+04  .196E+04  .3E+04   .   . -.1E+03 -.2101E+04   .   .   .   .  .12E+02  8.  .4891641E+02  .6889743E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.3041E+04 -.1171E+04  .196E+04  .3E+04   .   . -.29E+03 -.2141E+04   .   .   .   .  .11E+02  8.  .4272446E+02  .1504855E+04   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.3041E+04 -.1171E+04  .196E+04  .3E+04   .   . -.58E+03 -.2291E+04   .   .   .   .  .1E+02  8.  .4024768E+02  .1016017E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.3041E+04 -.1171E+04  .196E+04  .3E+04   .   . -.64E+03 -.2261E+04   .   .   .   .  .1E+02  8.  .4272446E+02  .9190158E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.3041E+04 -.1171E+04  .196E+04  .3E+04   .   . -.4E+03 -.2181E+04   .   .   .   .  .11E+02  8.  .495356E+02  .8223984E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.3041E+04 -.1171E+04  .196E+04  .3E+04   .   . -.61E+03 -.2121E+04   .   .   .   .  .1E+02  8.  .4210526E+02  .6383652E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.3041E+04 -.1171E+04  .196E+04  .3E+04   .   . -.49E+03 -.2091E+04   .   .   .   .  .11E+02  8.  .4148607E+02  .1264461E+04   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.3041E+04 -.1171E+04  .196E+04  .3E+04   .   . -.81E+03 -.2321E+04   .   .   .   .  .1E+02  7.  .3343653E+02  .8216316E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.3041E+04 -.1171E+04  .196E+04  .3E+04   .   . -.87E+03 -.2121E+04   .   .   .   .  9.  8.  .3591331E+02  .9619569E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.3041E+04 -.1171E+04  .196E+04  .3E+04   .   . -.86E+03 -.2171E+04   .   .   .   .  .1E+02  8.  .3653251E+02  .2879353E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.3041E+04 -.1171E+04  .196E+04  .3E+04   .   . -.95E+03 -.2191E+04   .   .   .   .  9.  8.  .1034056E+03  .2618639E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.3041E+04 -.1171E+04  .196E+04  .3E+04   .   . -.103E+04 -.2211E+04   .   .   .   .  9.  8.  .5139319E+02  .1598788E+04   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.3041E+04 -.1171E+04  .196E+04  .3E+04   .   . -.98E+03 -.2061E+04   .   .   .   .  9.  8.  .2972136E+02  .2637809E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.3041E+04 -.1171E+04  .196E+04  .3E+04   .   . -.101E+04 -.2431E+04   .   .   .   .  9.  7.  .3157895E+02  .2135552E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
