"","dataset","E","El","nflip","EOD","sqrt.E","mean.strain","mean.logstrain","OD.phi","OD.lambda","status","mess","time"
"125","developmental_retina/data/C57BL6J/P8/AP/GM257-4/R-CONTRA",0.0039802123002429,0.00398021148628236,0,5.59571615295117,0.0630889173015543,0.0681729861784658,0.0692488686362547,-1.47313265591887,1.54322580869167,"0","Success","102.419"
"126","developmental_retina/data/C57BL6J/P8/AP/GM257-5/R-CONTRA",0.0052468963211323,0.00524689608403277,0,9.04877930304676,0.0724354615090756,0.0837826488761266,0.0846878069153866,-1.41286533467041,0.718548494832121,"0","Success","87.476"
"127","developmental_retina/data/C57BL6J/P8/AP/GM258-3/R-CONTRA",0.00411637201452092,0.00411637154724757,0,9.05256058717208,0.0641589553160552,0.0725237468100459,0.0734760784967735,-1.41279933881247,0.977852859874523,"0","Success","284.871"
"128","developmental_retina/data/C57BL6J/P8/AP/GM278-5/R-CONTRA",0.00514931110281429,0.00514928073583127,0,6.67021258359783,0.0717584889461259,0.0933348105239085,0.0964814698730053,-1.45437915540316,-0.535693696933655,"0","Success","106.54"
"129","developmental_retina/data/C57BL6J/P8/GM138-6/GM138-6",0.00611719803732904,0.00611719776032846,0,6.82695526309342,0.0782125166474552,0.0876538949293072,0.0884879661796269,-1.45164347956756,1.20722215547064,"0","Success","98.695"
"130","developmental_retina/data/C57BL6J/P8/GM138-6/R-CONTRA",0.00611719803732904,0.00611719776032846,0,6.82695526309342,0.0782125166474552,0.0876538949293072,0.0884879661796269,-1.45164347956756,1.20722215547064,"0","Success","93.801"
"131","developmental_retina/data/C57BL6J/P8/GM278-3/R-CONTRA",0.00351510652730256,0.0035151062253056,0,6.93810247242656,0.0592883312744219,0.065778463348037,0.0666257094550992,-1.44970359481029,1.12987481308066,"0","Success","82.134"
"132","developmental_retina/data/C57BL6J/P8/ML/GM184-1/R-CONTRA",0.00420045576786314,0.00420045315440868,0,7.82087662330169,0.0648109030519455,0.0731518616834409,0.074367675748891,-1.43429627932603,0.743484935156827,"0","Success","192.252"
"133","developmental_retina/data/C57BL6J/P8/ML/GM184-2/R-CONTRA",0.0038265288212445,0.00382652740821956,0,8.95302868993745,0.0618589315153403,0.0699310778410344,0.0709901062064385,-1.41453649812997,1.84147008238059,"0","Success","213.196"
"134","developmental_retina/data/C57BL6J/P8/ML/GM184-3/R-CONTRA",0.00417592456918854,0.00417589943159008,0,7.13191761508168,0.0646211995523921,0.0779664480159047,0.0796414282373469,-1.44632088243074,1.96601618611811,"0","Success","173.055"
"135","developmental_retina/data/C57BL6J/P8/ML/GM184-4/R-CONTRA",0.00312436848239264,0.00312436558483401,0,8.75003951312642,0.055896024767724,0.0619543133321333,0.0625473846824828,-1.41807932761124,1.17622339208369,"0","Success","134.645"
"136","developmental_retina/data/C57BL6J/P8/ML/GM184-5/R-CONTRA",1.64648340119153,0.00353275017435873,1,11.5064126061421,0.0594369428416262,0.0667113549312018,0.0675866470038541,-1.36997154172474,0.59748024845887,"0","Success","67.606"
"137","developmental_retina/data/C57BL6J/P8/ML/GM300-1/R-CONTRA",0.00445081280286567,0.00445077939019782,0,6.53388311358115,0.0667141618413798,0.0794435093626798,0.0809440795345078,-1.45675855352245,3.06547945580138,"0","Success","70.282"
"138","developmental_retina/data/C57BL6J/P8/ML/GM300-2/R-CONTRA",0.206214111348081,0.0195609852641301,2,10.7095186333835,0.139860592248603,0.644732885175767,0.320273404585826,-1.38387996533867,1.86705434301824,"0","Success","1491.527"
"139","developmental_retina/data/C57BL6J/P8/ML/GM382-1/R-CONTRA",0.00293498122510761,0.00293497894153043,0,7.89736810424493,0.0541754459283025,0.0590012241327744,0.0605521873963377,-1.43296125113384,2.90375662563666,"0","Success","60.265"
"140","developmental_retina/data/nAChR-B2/P0/GMB389-1/R-CONTRA",0.0117520305204819,0.0117520053757515,0,37.121015414562,0.108406666657321,0.120203591723511,0.121247106549497,-0.922912386127222,1.37455737210265,"0","Success","218.436"
"141","developmental_retina/data/nAChR-B2/P0/GMB389-2/R-CONTRA",0.00495945170423166,0.00495944920345853,0,3.83719288624079,0.0704233569453951,0.076411420530085,0.0765182229033505,-1.50382467689589,0.305035171495933,"0","Success","97.759"
